well,Date,subsidence,tds,gwr_elev
895,12/27/16,27.3,,
895,12/26/16,31.78,,
895,12/25/16,34.56,,
895,12/24/16,27.81,,
895,12/23/16,32.96,,
895,12/22/16,31.85,,
895,12/21/16,32.45,,
895,12/20/16,29.61,,
895,12/19/16,26.11,,
895,12/18/16,28.05,,
895,12/17/16,36.19,,
895,12/16/16,33.07,,
895,12/15/16,35.33,,
895,12/14/16,29,,
895,12/13/16,31.51,,
895,12/12/16,28.84,,
895,12/11/16,36.8,,
895,12/10/16,33.51,,
895,12/9/16,31.3,,
895,12/8/16,25.74,,
895,12/7/16,32.52,,
895,12/6/16,33.07,,
895,12/5/16,32.8,,
895,12/4/16,33.02,,
895,12/3/16,26.43,,
895,12/2/16,24.98,,
895,12/1/16,30.75,,
895,11/30/16,32.44,,
895,11/29/16,36.29,,
895,11/28/16,36.68,,
895,11/27/16,35.58,,
895,11/26/16,28.45,,
895,11/25/16,29.63,,
895,11/24/16,30.29,,
895,11/23/16,31.87,,
895,11/22/16,31.1,,
895,11/21/16,33.05,,
895,11/20/16,27.02,,
895,11/19/16,29.54,,
895,11/18/16,32.07,,
895,11/17/16,36.89,,
895,11/16/16,39.12,,
895,11/15/16,33.72,,
895,11/14/16,28.38,,
895,11/13/16,31.71,,
895,11/12/16,30.16,,
895,11/11/16,30.9,,
895,11/10/16,33.88,,
895,11/9/16,31.65,,
895,11/8/16,29.07,,
895,11/7/16,25.1,,
895,11/6/16,28.27,,
895,11/5/16,31.73,,
895,11/4/16,26.96,,
895,11/3/16,30.16,,
895,11/2/16,27.12,,
895,11/1/16,33.89,,
895,10/31/16,36.91,,
895,10/30/16,29.17,,
895,10/29/16,32.11,,
895,10/28/16,27.68,,
895,10/27/16,30.53,,
895,10/26/16,30.59,,
895,10/25/16,23.52,,
895,10/24/16,27.94,,
895,10/23/16,49.37,,
895,10/22/16,32.7,,
895,10/21/16,30.68,,
895,10/20/16,29.94,,
895,10/19/16,31.65,,
895,10/18/16,32.52,,
895,10/17/16,40.58,,
895,10/16/16,43.26,,
895,10/15/16,37.1,,
895,10/14/16,36.25,,
895,10/13/16,33.57,,
895,10/12/16,32.85,,
895,10/11/16,33.3,,
895,10/10/16,28.81,,
895,10/9/16,31.72,,
895,10/8/16,37.48,,
895,10/7/16,36.72,,
895,10/6/16,38.77,,
895,10/5/16,42.19,,
895,10/4/16,39.15,,
895,10/3/16,40.07,,
895,10/2/16,35.15,,
895,10/1/16,42.16,,
895,9/30/16,35.34,,
895,9/29/16,29.28,,
895,9/28/16,31.72,,
895,9/27/16,33.79,,
895,9/26/16,30.04,,
895,9/25/16,32.98,,
895,9/24/16,30.89,,
895,9/23/16,33.1,,
895,9/22/16,35.73,,
895,9/21/16,36.09,,
895,9/20/16,40.94,,
895,9/19/16,36.83,,
895,9/18/16,35.12,,
895,9/17/16,31.96,,
895,9/16/16,30.11,,
895,9/15/16,29.54,,
895,9/14/16,34.82,,
895,9/13/16,32.1,,
895,9/12/16,34.49,,
895,9/11/16,38.63,,
895,9/10/16,30.8,,
895,9/9/16,31.64,,
895,9/8/16,33.67,,
895,9/7/16,30.31,,
895,9/6/16,34.17,,
895,9/5/16,33.2,,
895,9/4/16,39.47,,
895,9/3/16,37.31,,
895,9/2/16,39.48,,
895,9/1/16,34.9,,
895,8/31/16,31.6,,
895,8/30/16,35.92,,
895,8/29/16,30.29,,
895,8/28/16,25.94,,
895,8/27/16,26.33,,
895,8/26/16,32.24,,
895,8/25/16,32.95,,
895,8/24/16,34.67,,
895,8/23/16,33.15,,
895,8/22/16,35.76,,
895,8/21/16,37.67,,
895,8/20/16,33.15,,
895,8/19/16,36.93,,
895,8/18/16,35.4,,
895,8/17/16,29.93,,
895,8/16/16,30.47,,
895,8/15/16,30.71,,
895,8/14/16,38.92,,
895,8/13/16,33.27,,
895,8/12/16,35.71,,
895,8/11/16,34.28,,
895,8/10/16,32.61,,
895,8/9/16,40.01,,
895,8/8/16,37.82,,
895,8/7/16,35.72,,
895,8/6/16,42.24,,
895,8/5/16,38.98,,
895,8/4/16,29.35,,
895,8/3/16,29.18,,
895,8/2/16,31.03,,
